Current,Voltage,Temp,dTdt,Label
1.01,11.52,28.9,0.027,0
2.21,12.34,31.2,0.029,0
3.95,10.99,34.5,0.026,1
1.35,11.64,30,0.024,0
2.85,10.82,32.8,0.02,1
3.17,11.6,33.3,0.017,1
1.33,10.9,29.7,0.004,0
3.05,11,32.9,0.013,1
1.79,11,31.1,0.012,0
2.71,11.9,32.4,0.009,1
2.72,12.07,32.5,0.022,1
2.38,11.79,31.9,0.015,0
0.82,12.44,28.7,0.003,0
3.42,11.44,33.9,0.007,1
1.62,11.29,30.1,0.021,0
1.15,12.28,29.4,0.003,0
0.64,11.18,28.7,0.026,0
2.57,12.44,32.4,0.015,1
2.87,10.82,33.1,0.015,1
0.56,12.45,28,0.018,0
2.29,10.87,31.4,0.025,0
1.29,12.31,29.6,0.011,0
2.76,11.7,32.5,0.021,1
1.11,12.49,29.4,0.017,0
2.92,10.93,32.5,0.009,1
1.85,11.74,31,0.026,0
3.78,12.45,34.5,0.024,1
0.98,11.69,28.9,0.02,0
1.69,11.87,30.2,0.026,0
0.9,11.98,28.5,0.026,0
3.74,11.57,34.6,0.022,1
3.57,11.87,34.2,0.025,1
1.4,11.79,29.5,0.021,0
2.81,12.33,32.4,0.021,1
3.36,10.88,33.7,0.019,1
2.44,11.28,32.2,0.023,1
2.35,12.42,31.6,0.006,0
1.35,12.31,29.4,0.027,0
0.83,11.57,28.6,0.026,0
3.64,11.85,34.2,0.002,1
3.65,11.27,33.8,0.025,1
2.72,11.12,32.4,0.005,1
1.69,11.59,30.3,0.011,0
1.72,11.4,30.6,0.023,0
3.04,11.79,33.4,0.006,1
3.64,10.93,34.5,0.025,1
3.6,12.46,34.1,0.025,1
3.23,12.48,33.2,0.016,1
2.75,11.99,33,0.001,1
0.79,11.71,28.6,0.009,0
1.07,11.33,29.1,0.019,0
3.64,12.18,34.3,0.029,1
2.62,11.96,32.3,0.019,1
0.53,11.08,28,0.009,0
0.86,12.35,28.6,0.019,0
2.82,12.2,32.5,0.017,1
0.52,12.41,28,0.024,0
1.06,12.03,29,0.004,0
2.42,11.84,31.7,0.023,0
2.92,11.51,32.9,0.017,1
2.78,12.39,32.5,0.029,1
1.28,12.27,29.9,0.011,0
2.99,10.88,32.4,0.019,1
1.33,10.84,29.9,0.028,0
1.64,11.44,30.5,0.004,0
3.11,12.18,32.8,0.028,1
2.77,12.48,32.5,0.021,1
3.47,11.06,33.9,0.003,1
2.8,11.81,32.3,0.01,1
2.49,11.45,31.8,0.022,0
0.83,12.45,28.4,0.003,0
1.79,12.23,30.9,0.018,0
1.43,12.23,30,0.011,0
1.35,11.6,30,0.019,0
3.91,11.51,35,0.002,1
1.88,11.26,30.5,0.026,0
3.62,10.9,34.1,0.029,1
2.71,12.27,32.5,0.029,1
3.28,12.18,33.3,0.023,1
2.26,12.5,31.7,0.005,0
2.52,12.49,32,0.023,1
2.22,11.74,31.4,0.002,0
1.18,12.11,29.5,0.002,0
3.03,12.41,33.1,0.01,1
1.48,12.24,29.9,0.015,0
0.59,11.22,28.4,0.023,0
2.76,11.57,32.3,0.021,1
1.12,11.02,29.4,0.014,0
3.79,12.42,34.7,0.009,1
3.84,11.83,34.6,0.03,1
3.7,11.19,34.5,0.013,1
1.8,11.94,30.3,0.014,0
0.55,11.85,28.3,0.006,0
3.75,11.41,34.5,0.024,1
2,10.99,30.9,0.021,0
3.88,11.94,35,0.007,1
3.87,11.68,34.6,0.003,1
3.49,12.11,33.7,0.021,1
1.53,11.68,29.7,0.02,0
1.85,12.25,30.8,0.009,0
3.48,11.74,33.7,0.029,1
1.61,11.75,30.6,0.005,0
1.09,12.29,28.8,0.014,0
2.45,11.49,32.2,0.028,1
3.78,11.03,34.6,0.013,1
2.94,10.85,32.9,0.02,1
2.5,12.08,31.9,0.013,0
0.84,11.85,28.8,0.009,0
2.65,12,32.3,0.03,1
3.97,11.16,35.2,0.013,1
0.99,11.03,29,0.027,0
2.31,10.82,31.7,0.008,0
3.57,11.4,34.1,0.007,1
3.09,11.8,33.2,0.002,1
2.94,11.47,32.9,0.02,1
2.96,11.54,32.6,0.012,1
1.76,12.34,30.3,0.026,0
1.53,11.39,30.2,0.015,0
3.33,11.67,33.7,0.029,1
3.34,12.13,33.6,0.006,1
3.53,11.47,34.1,0.026,1
3.7,11.86,34.5,0.024,1
2.29,12.27,31.5,0.023,0
2.26,12.41,31.4,0.025,0
3.29,11.05,33.6,0.023,1
2.77,12.38,32.3,0.019,1
2.96,11.64,33,0.005,1
3.29,11.24,33.2,0.002,1
3.62,11.58,34.4,0.028,1
1.68,12.47,30.5,0.019,0
1.81,11.64,30.7,0.024,0
0.83,11.36,28.9,0.015,0
2.52,11.88,32.4,0.004,1
0.63,11.21,28.5,0.005,0
2.13,10.93,30.9,0.021,0
2.4,11.02,31.5,0.013,0
1.5,11.02,29.9,0.007,0
2.57,11.06,32.1,0.015,1
0.61,11.04,28.3,0.003,0
0.63,11.89,28.1,0.018,0
3.38,11.11,33.8,0.009,1
1.76,11.39,30.4,0.024,0
0.94,12.32,28.8,0.01,0
2.33,11.61,31.4,0.014,0
3.19,11.93,33.2,0.001,1
1.26,11.09,29.2,0.003,0
2.68,11.13,32.2,0.012,1
0.8,10.87,28.8,0.015,0
